case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JC414233,2019-08-31T05:33:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,31063
JA173935,2017-03-03T23:55:00Z,720 ILCS 570.0/407-B-1,MFG/DEL HEROIN/SCH/PUB HS/PK,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,54211
JC359874,2019-07-22T20:30:00Z,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,9-16-050(B),NO TURN SIGNALS-VIOLATION,NA,48371
JA387837,2017-08-12T12:00:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,94215
JB276941,2018-05-24T21:05:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,63891
JB370788,2018-07-30T02:40:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,27440
JB521276,2018-11-19T10:55:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,96500
JA234105,2017-04-22T01:48:00Z,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,F,720 ILCS 5.0/24-1.6-A-2,AGG UUW/ON PERSON,F,NA,NA,NA,NA,NA,NA,32969
JB482721,2018-10-20T11:54:00Z,720 ILCS 5.0/31-1A-B,ATTEMPT DISARM PC OFF/CORR INST EMP,F,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,M,NA,NA,NA,8007
JC156845,2019-02-18T18:08:00Z,720 ILCS 5.0/21-3-A-3,CRIMINAL TRESPASS - REMAIN ON LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,39731
JA489928,2017-10-29T00:45:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,56266
JC384821,2019-08-09T05:20:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,48668
JB540158,2018-12-18T17:20:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,720 ILCS 5.0/16-1-A-1-A,THEFT CON INTENT<$500 PRIOR,F,720 ILCS 5.0/16-1-A-1-A,THEFT CON INTENT<$500 PRIOR,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,97795
JC294933,2019-06-06T20:30:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,28806
JC248318,2019-05-03T20:03:00Z,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,F,720 ILCS 550.0/5-E,CANNABIS - MFG/DEL - 500-2000 GRMS,F,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,90672
JC115964,2019-01-14T04:54:00Z,4-144-190,REPLICA FIREARMS/PELLET GUNS,NA,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,NA,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,NA,67569
JA501571,2017-11-07T00:08:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,84504
JC543721,2019-12-12T10:39:00Z,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,M,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,52467
JA535653,2017-12-04T11:00:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,80793
JA466056,2017-10-10T21:04:00Z,730 ILCS 110.0/11,PETITION TO VIOLATE PROBATION,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,12182
JB365553,2018-08-12T18:06:00Z,720 ILCS 5.0/32-10-B,VIOLATION BAIL BOND - FAMILY MEMBER,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,66228
JB165107,2018-02-25T23:14:00Z,720 ILCS 5.0/16-25-A-8,RETAIL THEFT - OBTAINS UNAUTHORIZED CONTROL <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,47892
JA460119,2017-10-06T05:35:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17464
JA348419,2017-07-15T03:40:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,8655
JA202907,2017-03-28T00:10:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,17916
JC416035,2019-09-01T18:48:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,60486
JA338583,2017-07-08T00:04:00Z,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,93537
JB389651,2018-08-12T05:35:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,25958
JC478386,2019-10-19T16:34:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,78509
JC325279,2019-06-28T16:05:00Z,720 ILCS 5.0/16-1-A-1-B,THEFT CON KNOW/DPRV<$500 PRIOR,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,85624
JB109677,2018-01-29T03:55:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,73471
JA412581,2017-08-31T01:28:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,61614
JB171426,2018-03-03T00:31:00Z,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,70266
JC147043,2019-02-10T16:59:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,99370
JC434489,2019-09-15T20:40:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,24418
JC498065,2019-11-04T17:40:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,7020
JB258605,2018-05-11T00:20:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,96919
JC300346,2019-09-01T07:09:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,NA,89844
JB255485,2018-05-08T22:35:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,37472
JB332179,2018-07-02T19:46:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,91973
JB376140,2018-08-02T21:20:00Z,8-4-130,POSS OF PAINT/MARKER WITH INTENT TO DEFACE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75478
JC342088,2019-07-10T04:41:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,41728
JA422990,2017-09-08T05:00:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,18731
JC332478,2019-07-03T05:10:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,59987
JC277645,2019-05-25T08:25:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,9-76-050(D),"LIGHT, LICENSE PLATE",NA,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,NA,67473
JB354838,2018-07-18T17:11:00Z,720 ILCS 5.0/28-1-A-1,GAMBLING - PLAY GAME OF CHANCE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,97464
JB447166,2018-09-23T08:22:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,15612
JB322833,2018-06-26T05:01:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,35520
JB565993,2018-12-24T18:40:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,25318
JB553152,2018-12-14T20:30:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,720 ILCS 600.0/3.5-C,POSS DRUG PARAPHERNALIA,NA,NA,NA,NA,23440
JB399718,2018-08-19T11:40:00Z,720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,41541
JA515185,2017-11-17T16:39:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,39377
JB232222,2018-04-21T15:38:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,8626
JB164569,2018-02-25T12:17:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,52940
JC213815,2019-04-06T15:46:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,36304
JC544727,2019-12-13T02:30:00Z,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,4-64-350,CERTAIN TRANSACTIONS - PROHIBITED,NA,NA,NA,NA,22611
JC548996,2019-12-16T21:15:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,39053
JC512826,2019-11-16T18:57:00Z,720 ILCS 570.0/407-B-1,MFG/DEL SCHED I/II/SCH/HS/PK,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,72454
JC149603,2019-02-14T01:55:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,39447
JC417319,2019-09-02T21:00:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,16740
JA181783,2017-03-10T14:43:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,720 ILCS 550.0/4-B,POSS CAN/>10-30 GRAMS/1ST,M,NA,NA,NA,NA,NA,NA,22691
JC412842,2019-08-30T01:50:00Z,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,93199
JA427349,2017-09-11T22:24:00Z,720 ILCS 5.0/24-1.2-A-2,AGGR DISCHARGE FIREARM - OCCUPIED VEHICLE,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,51428
JC322201,2019-06-26T06:35:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,68957
JA562690,2017-12-25T23:27:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,59331
JB480707,2018-10-18T21:50:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/24-1-A-4,UUW - WEAPON - CARRY/POSSESS FIREARM/1ST,M,NA,NA,NA,91662
JC151708,2019-02-14T07:45:00Z,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,M,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,M,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,9-20-010(B),ONE WAY STREET/ALLEY SIGNS POSTED,NA,79509
JB520622,2018-11-18T18:54:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,28369
JC396700,2019-08-17T22:50:00Z,625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,M,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,430 ILCS 85.0/2-14,OPERATE WITHOUT INSURANCE,M,9-24-010(B),STOP AT STOP SIGN,NA,98476
JC326839,2019-06-29T09:18:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,50122
JC417979,2019-09-03T12:05:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,82409
JA217193,2017-04-08T17:00:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,63579
JA161289,2017-02-21T01:34:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,720 ILCS 5.0/16-2,THEFT LOST/MISLAID/PROP/$500-$10K,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,NA,65542
JC399573,2019-08-20T17:25:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,33250
JC355014,2019-07-19T07:40:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,43335
JA168275,2017-02-27T02:07:00Z,720 ILCS 570.0/407-B-5,PCS-MFG/DEL-SCH/PUB HS/PRK-OTHER SUBST-SCHD IV,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,5478
JC523478,2019-11-25T09:40:00Z,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,9-40-200(B),OPERATOR SIGNAL REQUIRED 100FT OF TURN,NA,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,70315
JB395485,2018-08-16T10:04:00Z,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,33610
JC315182,2019-06-21T06:15:00Z,9-24-010(B),STOP AT STOP SIGN,NA,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,NA,NA,NA,NA,NA,NA,NA,23490
JB434573,2018-09-14T08:10:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,26319
JB416779,2018-08-31T21:35:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,85425
JA397270,2017-08-19T06:52:00Z,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,M,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,M,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,M,NA,NA,NA,46431
JC477838,2019-10-19T00:50:00Z,720 ILCS 5.0/16-2,THEFT LOST/MISLAID/PROP/$500-$10K,M,9-52-020,RIDING BICYCLE ON SIDEWALK,NA,NA,NA,NA,NA,NA,NA,78774
JA428386,2017-09-12T19:02:00Z,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,36402
JB166218,2018-02-26T21:49:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551
JA501137,2017-11-06T19:18:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,720 ILCS 5.0/16-1-A-1-B,THFT CONTROL KNOW DEPRIVE<$500,M,NA,NA,NA,NA,NA,NA,74203
JC202050,2019-03-27T23:40:00Z,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,NA,NA,NA,79676
JC356034,2019-07-19T22:14:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 225.0/13,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,NA,16884
JA269800,2017-05-19T01:41:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,21927
JC471707,2019-10-14T04:25:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,71446
JB553539,2018-12-14T23:59:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS A OFFENSE,M,NA,NA,NA,NA,NA,NA,5754
JC498963,2019-11-05T06:55:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,69973
JA283315,2017-06-17T01:14:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,69646
JA567012,2017-12-29T23:21:00Z,720 ILCS 5.0/16-25-A-8,RETAIL THEFT - OBTAINS UNAUTHORIZED CONTROL <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766
JB570793,2018-12-29T04:24:00Z,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,F,625 ILCS 5.0/11-804-B,IVC - FAIL TO SIGNAL,NA,NA,NA,NA,NA,NA,NA,60922
JA460815,2017-10-07T16:11:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,56910
JA115496,2017-01-14T09:20:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,22095
JC120380,2019-01-17T19:18:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,18932
JC257546,2019-05-10T16:54:00Z,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/LOADED/NO FCCA,F,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,NA,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,6258
JB530451,2018-11-27T15:30:00Z,730 ILCS 150.0/3-A,VIOLATE SEX OFFENDER REGIS/2+,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,20061
JC437847,2019-09-18T03:34:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,42496
JA352544,2017-07-18T04:42:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,98060
JC268989,2019-05-19T06:48:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,98300
JA277294,2017-05-24T18:00:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,85111
JC438773,2019-09-18T22:12:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,74961
JB515096,2018-11-14T04:15:00Z,625 ILCS 5.0/11-204.1-A-4,IVC - AGG FLEEING/2+ CON DEVICES,F,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,49182
JB116637,2018-01-15T15:20:00Z,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS 4 OFFENSE,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,32027
JA118634,2017-01-17T05:40:00Z,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,22255
JC336177,2019-07-05T20:54:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 550.0/5-B,CANNABIS - MFG/DEL - 2.5-10 GRMS,M,NA,NA,NA,NA,NA,NA,13118
JC347682,2019-07-14T03:08:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,73470
JB554609,2018-12-15T20:33:00Z,720 ILCS 570.0/401-C-2,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,96890
JB205229,2018-03-30T17:55:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,31952
JB422496,2018-09-05T02:16:00Z,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,F,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,94745
JC248993,2019-05-04T05:55:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,78946
JB180339,2018-03-10T08:50:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,29624
JA445119,2017-09-24T22:00:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,67949
JB342550,2018-07-09T22:00:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,44598
