case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JC343566,2019-07-11T04:25:00Z,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,82522
JE269867,2021-06-18T01:28:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,43487
JC342896,2019-07-10T19:29:00Z,720 ILCS 550.0/4-B,POSS CAN/>10-30 GRAMS/1ST,M,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,40919
JB449438,2018-09-25T00:45:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,37249
JF272759,2022-06-09T04:30:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BTRY/PHYSICAL CONTACT,M,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,1198
JD424607,2020-11-08T06:12:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,NA,NA,NA,NA,NA,NA,NA,27697
JD269926,2020-06-20T09:30:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,8187
JB489282,2018-10-25T13:54:00Z,720 ILCS 5.0/12-3.05-D-9,AGGRAVATED BATTERY/MERCHANT,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,34124
JC382257,2019-10-15T15:54:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,54763
JF107909,2022-01-09T23:35:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300/PRECONV,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,45358
JE439397,2021-11-24T16:01:00Z,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,M,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,720 ILCS 5.0/16-2,THEFT LOST/MISLAID/PROP/<$500,M,720 ILCS 5.0/16-2,THEFT LOST/MISLAID/PROP/<$500,M,4185
